"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"15.04.2024","14.370,11","14.314,66","14.404,83","14.293,33","3,72M","0,10%"
"12.04.2024","14.355,14","14.567,89","14.638,48","14.338,51","9,90M","-0,98%"
"11.04.2024","14.497,16","14.516,34","14.575,80","14.436,13","8,55M","-0,17%"
"10.04.2024","14.521,30","14.496,19","14.633,85","14.433,40","9,18M","0,41%"
"09.04.2024","14.461,88","14.475,28","14.551,54","14.434,47","7,71M","-0,20%"
"08.04.2024","14.491,52","14.327,96","14.507,83","14.305,00","7,42M","1,39%"
"05.04.2024","14.293,11","14.331,73","14.332,00","14.216,86","6,87M","-0,88%"
"04.04.2024","14.419,76","14.284,30","14.423,79","14.284,30","7,32M","1,03%"
"03.04.2024","14.272,66","14.168,62","14.280,42","14.061,69","6,22M","0,70%"
"02.04.2024","14.173,98","14.307,03","14.416,09","14.154,95","8,88M","-0,84%"
"28.03.2024","14.294,62","14.431,94","14.441,67","14.243,99","8,58M","-0,80%"
"27.03.2024","14.410,13","14.243,23","14.411,22","14.243,23","8,70M","1,12%"
"26.03.2024","14.250,02","14.129,76","14.251,62","14.129,76","6,98M","1,12%"
"25.03.2024","14.092,59","13.986,85","14.104,69","13.986,63","7,10M","0,77%"
"22.03.2024","13.984,98","13.968,67","14.054,41","13.959,50","7,51M","-0,02%"
"21.03.2024","13.987,48","13.932,89","14.002,79","13.911,59","9,04M","0,93%"
"20.03.2024","13.858,59","13.824,06","13.892,53","13.770,43","8,12M","0,01%"
"19.03.2024","13.856,77","13.851,79","13.905,82","13.804,80","9,86M","-0,18%"
"18.03.2024","13.881,21","13.960,90","13.988,31","13.878,29","7,33M","-0,18%"
"15.03.2024","13.906,54","13.918,41","13.975,30","13.906,54","17,87M","-0,05%"
"14.03.2024","13.914,07","13.998,90","14.045,20","13.914,07","8,08M","-0,63%"
"13.03.2024","14.002,95","14.032,70","14.053,92","13.999,76","7,65M","0,02%"
"12.03.2024","13.999,95","13.856,66","14.017,98","13.856,43","6,88M","1,27%"
"11.03.2024","13.824,97","13.809,72","13.827,66","13.757,33","8,03M","-0,35%"
"08.03.2024","13.873,11","13.954,25","13.954,25","13.873,11","","-0,61%"
"07.03.2024","13.957,68","13.842,76","13.985,22","13.769,55","","0,66%"
"06.03.2024","13.866,81","13.711,61","13.880,44","13.711,61","","1,12%"
"05.03.2024","13.713,39","13.726,41","13.773,64","13.692,99","","-0,52%"
"04.03.2024","13.785,13","13.877,86","13.919,26","13.754,98","","-0,52%"
"01.03.2024","13.857,04","13.832,59","13.865,27","13.754,94","","0,61%"
"29.02.2024","13.772,39","13.768,45","13.841,21","13.759,83","","0,03%"
"28.02.2024","13.768,71","13.901,90","13.901,90","13.713,38","","-0,83%"
"27.02.2024","13.884,12","13.757,14","13.892,82","13.730,78","","1,04%"
"26.02.2024","13.740,61","13.752,12","13.760,70","13.702,49","","-0,18%"
"23.02.2024","13.765,66","13.837,45","13.843,97","13.722,12","","-0,43%"
"22.02.2024","13.824,76","13.808,47","13.892,18","13.782,60","","0,72%"
"21.02.2024","13.725,51","13.714,19","13.758,21","13.689,68","","0,04%"
"20.02.2024","13.720,17","13.760,84","13.778,02","13.697,15","","-0,67%"
"19.02.2024","13.813,37","13.852,75","13.852,75","13.766,55","","-0,50%"
"16.02.2024","13.882,84","13.868,71","13.969,59","13.849,43","","0,40%"
"15.02.2024","13.827,66","13.917,34","13.931,03","13.809,14","","-0,06%"
"14.02.2024","13.836,16","13.669,76","13.859,16","13.669,76","","0,94%"
"13.02.2024","13.707,95","13.863,21","13.863,35","13.631,83","","-1,27%"
"12.02.2024","13.884,11","13.733,86","13.884,11","13.729,56","","1,33%"
"09.02.2024","13.701,98","13.852,92","13.852,92","13.701,78","","-0,89%"
"08.02.2024","13.825,47","13.741,13","13.848,46","13.741,13","","0,93%"
"07.02.2024","13.697,83","13.985,46","13.990,46","13.697,83","","-1,80%"
"06.02.2024","13.948,47","13.801,39","13.966,37","13.799,11","","1,10%"
"05.02.2024","13.796,32","13.728,43","13.822,05","13.636,33","","0,65%"
"02.02.2024","13.707,69","13.831,35","13.909,86","13.703,09","","-0,34%"
"01.02.2024","13.754,10","13.805,09","13.863,19","13.750,65","","-0,59%"
"31.01.2024","13.836,06","13.790,45","13.881,18","13.780,59","","0,28%"
"30.01.2024","13.797,35","13.799,92","13.822,58","13.755,29","","0,26%"
"29.01.2024","13.761,10","13.759,72","13.778,21","13.649,89","","-0,16%"
"26.01.2024","13.782,56","13.704,40","13.792,20","13.638,96","","0,52%"
"25.01.2024","13.711,51","13.734,13","13.740,26","13.621,92","","-0,29%"
"24.01.2024","13.750,74","13.705,36","13.781,34","13.680,42","","1,18%"
"23.01.2024","13.590,26","13.566,90","13.653,32","13.520,21","","0,53%"
"22.01.2024","13.518,34","13.384,63","13.544,14","13.384,63","","1,29%"
"19.01.2024","13.345,59","13.447,88","13.476,38","13.305,52","","-0,44%"
"18.01.2024","13.405,08","13.377,31","13.445,58","13.330,89","","0,45%"
"17.01.2024","13.345,53","13.285,08","13.354,15","13.230,25","","-0,75%"
"16.01.2024","13.446,16","13.435,60","13.472,56","13.366,11","","-0,28%"
"15.01.2024","13.484,49","13.567,16","13.592,08","13.466,38","","-0,55%"
"12.01.2024","13.558,57","13.471,06","13.623,41","13.471,06","","1,22%"
"11.01.2024","13.395,48","13.612,30","13.654,29","13.395,48","","-1,48%"
"10.01.2024","13.596,33","13.682,16","13.685,70","13.583,06","","-0,60%"
"09.01.2024","13.678,94","13.737,89","13.740,38","13.638,74","","-0,13%"
"08.01.2024","13.697,12","13.540,34","13.697,12","13.411,00","","1,20%"
"05.01.2024","13.534,06","13.529,13","13.568,67","13.380,57","","-0,29%"
"04.01.2024","13.573,38","13.435,47","13.573,38","13.432,31","","0,99%"
"03.01.2024","13.440,68","13.814,47","13.814,47","13.431,42","","-2,75%"
"02.01.2024","13.821,19","14.025,20","14.067,87","13.781,91","","-1,00%"
"29.12.2023","13.960,36","13.931,14","13.972,27","13.915,04","","0,23%"
"28.12.2023","13.927,88","13.972,00","13.983,52","13.885,01","","-0,05%"
"27.12.2023","13.934,58","13.842,38","13.934,58","13.842,25","","0,98%"
"22.12.2023","13.799,64","13.755,93","13.805,83","13.708,08","","0,27%"
"21.12.2023","13.761,87","13.748,79","13.779,57","13.662,22","","-0,67%"
"20.12.2023","13.855,30","13.769,33","13.855,30","13.728,53","","0,90%"
"19.12.2023","13.732,09","13.563,95","13.742,40","13.563,95","","1,15%"
"18.12.2023","13.576,47","13.541,31","13.583,42","13.513,75","","-0,30%"
"15.12.2023","13.617,48","13.599,05","13.728,41","13.568,36","","0,61%"
"14.12.2023","13.534,53","13.300,77","13.578,95","13.300,77","","3,52%"
"13.12.2023","13.074,39","13.140,79","13.194,99","13.074,39","","-0,54%"
"12.12.2023","13.145,34","13.259,35","13.259,35","13.103,63","","-0,79%"
"11.12.2023","13.249,79","13.175,46","13.255,87","13.138,00","","0,63%"
"08.12.2023","13.167,41","13.094,04","13.198,69","13.094,04","","0,47%"
"07.12.2023","13.106,36","13.182,45","13.182,45","13.048,34","","-1,12%"
"06.12.2023","13.254,58","13.225,10","13.281,11","13.161,11","","0,33%"
"05.12.2023","13.210,85","13.062,41","13.233,52","13.052,75","","1,07%"
"04.12.2023","13.071,43","13.220,64","13.296,69","13.050,52","","-0,90%"
"01.12.2023","13.189,87","13.128,70","13.189,87","13.042,12","","0,80%"
"30.11.2023","13.084,74","13.220,97","13.240,52","13.061,71","","-1,09%"
"29.11.2023","13.229,26","13.038,34","13.252,64","13.038,34","","1,51%"
"28.11.2023","13.032,80","13.007,28","13.032,80","12.902,71","","0,03%"
"27.11.2023","13.028,81","13.044,82","13.088,06","13.005,64","","-0,19%"
"24.11.2023","13.054,04","13.036,62","13.065,07","12.988,36","","0,26%"
"23.11.2023","13.019,54","13.014,32","13.030,68","12.962,40","","0,03%"
"22.11.2023","13.016,26","12.953,49","13.041,22","12.953,49","","0,51%"
"21.11.2023","12.950,72","13.243,70","13.257,16","12.950,72","","-2,27%"
"20.11.2023","13.251,56","13.251,33","13.267,31","13.188,76","","0,32%"
"17.11.2023","13.209,91","13.097,77","13.272,69","13.095,14","","1,22%"
"16.11.2023","13.051,33","13.271,54","13.273,84","13.049,43","","-1,64%"
"15.11.2023","13.268,43","13.264,22","13.402,43","13.235,68","","0,11%"
"14.11.2023","13.253,54","12.848,04","13.253,54","12.827,94","","3,35%"
"13.11.2023","12.824,20","12.824,03","12.861,05","12.784,84","","0,44%"
"10.11.2023","12.767,80","12.854,59","12.854,59","12.695,54","","-1,39%"
"09.11.2023","12.948,41","12.764,76","12.984,45","12.764,76","","1,73%"
"08.11.2023","12.728,50","12.684,32","12.807,57","12.665,18","","-0,02%"
"07.11.2023","12.731,38","12.732,24","12.766,10","12.673,68","","-0,33%"
"06.11.2023","12.773,67","12.994,08","13.014,10","12.760,74","","-1,36%"
"03.11.2023","12.949,71","12.748,47","12.999,56","12.748,47","","2,24%"
"02.11.2023","12.666,39","12.422,47","12.753,85","12.422,47","","2,82%"
"01.11.2023","12.319,31","12.345,05","12.350,86","12.204,26","","0,34%"
"31.10.2023","12.277,17","12.126,43","12.290,81","12.126,43","","1,67%"
"30.10.2023","12.075,68","12.154,40","12.208,98","12.066,43","","-0,46%"
"27.10.2023","12.131,51","12.170,71","12.218,51","12.112,93","","0,01%"
"26.10.2023","12.130,28","11.989,06","12.197,64","11.973,73","","0,38%"
"25.10.2023","12.084,52","12.363,31","12.363,31","12.062,41","","-2,00%"
"24.10.2023","12.331,69","12.247,03","12.389,52","12.247,03","","0,96%"
"23.10.2023","12.213,88","12.277,27","12.306,54","12.061,32","","-0,49%"
"20.10.2023","12.273,84","12.288,92","12.367,58","12.253,14","","-0,95%"
"19.10.2023","12.391,92","12.553,01","12.587,12","12.388,06","","-1,93%"
"18.10.2023","12.635,19","12.739,18","12.739,18","12.626,06","","-0,73%"
"17.10.2023","12.728,70","12.655,49","12.760,63","12.609,45","","0,49%"
"16.10.2023","12.666,19","12.622,34","12.701,63","12.558,36","","0,53%"
"13.10.2023","12.599,07","12.771,61","12.780,65","12.592,63","","-1,46%"
"12.10.2023","12.786,34","12.908,52","12.979,95","12.782,93","","-0,45%"
"11.10.2023","12.844,00","12.809,78","12.889,88","12.805,98","","0,17%"
"10.10.2023","12.822,39","12.674,66","12.832,68","12.674,66","","1,86%"
"09.10.2023","12.588,77","12.620,87","12.663,44","12.548,73","","-0,71%"
"06.10.2023","12.678,50","12.579,33","12.687,42","12.521,83","","0,95%"
"05.10.2023","12.559,00","12.591,64","12.693,01","12.551,59","","-0,04%"
"04.10.2023","12.564,25","12.465,53","12.584,77","12.400,61","","0,12%"
"03.10.2023","12.549,38","12.707,11","12.721,13","12.545,45","","-1,81%"
"02.10.2023","12.780,83","12.918,45","12.994,03","12.739,52","","-0,74%"
"29.09.2023","12.875,77","12.738,73","12.982,25","12.735,60","","2,01%"
"28.09.2023","12.621,93","12.544,91","12.621,93","12.511,54","","0,64%"
"27.09.2023","12.541,62","12.542,13","12.622,26","12.535,36","","-0,22%"
"26.09.2023","12.569,22","12.767,70","12.767,70","12.569,22","","-1,70%"
"25.09.2023","12.787,01","12.913,94","12.956,11","12.720,83","","-1,28%"
"22.09.2023","12.953,28","12.910,63","12.976,30","12.894,59","","-0,03%"
"21.09.2023","12.956,58","13.114,16","13.114,16","12.956,58","","-1,69%"
"20.09.2023","13.178,83","13.018,33","13.192,42","13.018,33","","1,39%"
"19.09.2023","12.998,63","12.931,13","13.056,17","12.916,41","","0,23%"
"18.09.2023","12.968,34","13.111,53","13.122,12","12.966,59","","-1,06%"
"15.09.2023","13.106,79","13.274,15","13.320,39","13.104,25","","-0,78%"
"14.09.2023","13.209,62","13.067,26","13.220,76","13.033,86","","1,24%"
"13.09.2023","13.048,43","12.999,40","13.087,29","12.994,53","","0,11%"
"12.09.2023","13.034,57","13.125,02","13.142,45","13.017,63","","-0,90%"
"11.09.2023","13.153,38","13.097,71","13.169,89","13.097,71","","0,70%"
"08.09.2023","13.062,07","13.090,52","13.115,33","12.989,54","","-0,16%"
"07.09.2023","13.083,63","13.159,66","13.180,63","13.044,31","","-0,96%"
"06.09.2023","13.211,05","13.207,31","13.258,50","13.181,96","","-0,16%"
"05.09.2023","13.231,82","13.271,55","13.316,99","13.231,40","","-0,68%"
"04.09.2023","13.322,84","13.347,40","13.410,40","13.319,62","","-0,01%"
"01.09.2023","13.324,21","13.395,19","13.395,19","13.306,02","","-0,56%"
"31.08.2023","13.398,80","13.287,87","13.453,88","13.287,87","","0,91%"
"30.08.2023","13.278,44","13.260,15","13.318,78","13.227,66","","0,15%"
"29.08.2023","13.258,52","13.186,98","13.270,58","13.167,84","","0,98%"
"28.08.2023","13.130,36","13.069,94","13.141,61","13.069,94","","1,00%"
"25.08.2023","12.999,78","12.978,83","13.077,59","12.978,83","","0,00%"
"24.08.2023","12.999,82","13.195,93","13.261,66","12.999,82","","-0,78%"
"23.08.2023","13.101,98","13.081,49","13.109,39","13.043,74","","0,40%"
"22.08.2023","13.049,64","12.984,66","13.084,92","12.984,66","","0,93%"
"21.08.2023","12.928,94","12.982,90","13.045,27","12.928,94","","-0,36%"
"18.08.2023","12.975,54","12.964,17","13.036,93","12.889,43","","-0,27%"
"17.08.2023","13.010,88","13.108,96","13.108,96","13.002,00","","-1,11%"
"16.08.2023","13.156,64","13.076,03","13.171,94","13.060,17","","0,24%"
"15.08.2023","13.124,81","13.267,25","13.267,25","13.101,23","","-0,85%"
"14.08.2023","13.237,22","13.203,93","13.272,96","13.179,32","","0,00%"
"11.08.2023","13.237,82","13.383,22","13.401,78","13.237,82","","-1,31%"
"10.08.2023","13.414,12","13.396,04","13.493,17","13.393,33","","0,37%"
"09.08.2023","13.364,98","13.417,75","13.473,43","13.357,27","","0,14%"
"08.08.2023","13.345,85","13.437,66","13.483,55","13.334,53","","-1,01%"
"07.08.2023","13.481,39","13.580,29","13.647,48","13.461,83","","-1,07%"
"04.08.2023","13.626,74","13.570,78","13.631,83","13.515,91","","0,41%"
"03.08.2023","13.571,39","13.507,83","13.600,00","13.468,95","","0,02%"
"02.08.2023","13.568,35","13.515,93","13.636,43","13.399,01","","-0,41%"
"01.08.2023","13.624,01","13.725,29","13.725,29","13.624,01","","-0,88%"
"31.07.2023","13.745,12","13.690,88","13.773,23","13.670,00","","0,33%"
"28.07.2023","13.700,25","13.708,64","13.716,69","13.634,72","","-0,27%"
"27.07.2023","13.737,45","13.688,62","13.815,79","13.679,96","","0,50%"
"26.07.2023","13.669,01","13.707,52","13.722,01","13.584,82","","-0,36%"
"25.07.2023","13.718,15","13.718,24","13.718,24","13.643,99","","0,16%"
"24.07.2023","13.695,95","13.645,99","13.733,67","13.645,99","","0,10%"
"21.07.2023","13.682,85","13.629,35","13.687,94","13.602,82","","-0,03%"
"20.07.2023","13.686,61","13.747,97","13.771,64","13.661,10","","-0,69%"
"19.07.2023","13.781,41","13.675,44","13.791,40","13.675,44","","1,10%"
"18.07.2023","13.631,17","13.521,80","13.641,70","13.502,87","","0,97%"
"17.07.2023","13.499,59","13.545,10","13.564,27","13.482,06","","-0,82%"
"14.07.2023","13.610,81","13.613,75","13.688,27","13.610,81","","-0,14%"
"13.07.2023","13.629,83","13.556,64","13.677,97","13.556,64","","0,59%"
"12.07.2023","13.549,25","13.292,01","13.552,58","13.286,25","","2,21%"
"11.07.2023","13.256,57","13.251,47","13.308,85","13.238,68","","0,30%"
"10.07.2023","13.216,92","13.183,06","13.233,49","13.138,03","","-0,07%"
"07.07.2023","13.225,60","13.092,50","13.231,88","13.031,81","","1,05%"
"06.07.2023","13.087,77","13.296,91","13.297,05","13.087,77","","-2,02%"
"05.07.2023","13.358,10","13.389,25","13.411,49","13.344,09","","-0,96%"
"04.07.2023","13.487,09","13.432,30","13.507,09","13.431,78","","0,57%"
"03.07.2023","13.410,01","13.462,34","13.490,63","13.358,46","","0,07%"
"30.06.2023","13.401,24","13.292,70","13.419,43","13.292,70","","0,97%"
"29.06.2023","13.272,85","13.299,64","13.337,70","13.251,81","","-0,16%"
"28.06.2023","13.294,42","13.201,98","13.302,72","13.201,98","","1,02%"
"27.06.2023","13.160,24","13.180,00","13.200,78","13.093,27","","0,06%"
"26.06.2023","13.152,17","13.218,49","13.241,78","13.106,11","","-0,25%"
"23.06.2023","13.185,64","13.258,30","13.266,20","13.173,77","","-0,96%"
"22.06.2023","13.312,86","13.243,46","13.312,86","13.201,06","","-0,14%"
"21.06.2023","13.331,50","13.377,02","13.401,13","13.323,76","","-0,54%"
"20.06.2023","13.404,06","13.517,28","13.517,28","13.404,06","","-1,32%"
"19.06.2023","13.582,78","13.667,48","13.667,48","13.578,42","","-0,91%"
"16.06.2023","13.707,13","13.659,36","13.739,90","13.652,31","","0,42%"
"15.06.2023","13.649,20","13.709,07","13.711,68","13.538,51","","-0,54%"
"14.06.2023","13.723,13","13.676,26","13.737,15","13.642,99","","0,48%"
"13.06.2023","13.657,41","13.587,88","13.664,91","13.563,10","","1,01%"
"12.06.2023","13.520,58","13.451,56","13.520,58","13.440,71","","0,67%"
"09.06.2023","13.430,79","13.411,45","13.454,89","13.375,67","","0,00%"
"08.06.2023","13.430,28","13.388,41","13.436,50","13.363,25","","0,15%"
"07.06.2023","13.409,99","13.451,36","13.484,86","13.409,99","","-0,23%"
"06.06.2023","13.440,92","13.402,77","13.449,78","13.334,83","","-0,03%"
"05.06.2023","13.444,64","13.521,25","13.549,74","13.397,94","","-0,29%"
"02.06.2023","13.483,16","13.263,97","13.488,60","13.263,97","","2,24%"
"01.06.2023","13.188,33","13.178,63","13.204,56","13.095,39","","0,57%"
"31.05.2023","13.113,72","13.178,37","13.224,72","13.098,71","","-1,18%"
"30.05.2023","13.270,60","13.341,05","13.399,84","13.267,77","","-0,43%"
"29.05.2023","13.327,85","13.406,79","13.426,02","13.307,95","","-0,13%"
"26.05.2023","13.345,54","13.222,75","13.358,29","13.183,95","","1,02%"
"25.05.2023","13.210,97","13.309,25","13.309,25","13.183,11","","-0,53%"
"24.05.2023","13.281,12","13.498,90","13.498,90","13.272,67","","-2,32%"
"23.05.2023","13.596,43","13.585,57","13.661,14","13.575,60","","-0,18%"
"22.05.2023","13.620,63","13.603,83","13.628,07","13.551,92","","-0,24%"
"19.05.2023","13.653,86","13.636,49","13.693,75","13.622,54","","0,44%"
"18.05.2023","13.594,15","13.576,17","13.620,65","13.538,25","","0,78%"
"17.05.2023","13.489,10","13.479,81","13.501,88","13.450,51","","-0,18%"
"16.05.2023","13.514,09","13.580,69","13.612,91","13.470,58","","-0,66%"
"15.05.2023","13.603,53","13.638,27","13.641,60","13.531,39","","0,08%"
"12.05.2023","13.592,23","13.607,62","13.607,98","13.517,47","","0,16%"
"11.05.2023","13.570,80","13.749,05","13.756,08","13.554,45","","-1,18%"
"10.05.2023","13.732,82","13.706,34","13.738,16","13.649,34","","0,26%"
"09.05.2023","13.696,66","13.804,24","13.804,24","13.655,06","","-0,93%"
"08.05.2023","13.825,87","13.814,65","13.828,97","13.758,16","","0,14%"
"05.05.2023","13.806,33","13.729,65","13.806,33","13.666,88","","1,01%"
"04.05.2023","13.668,36","13.642,55","13.693,20","13.576,01","","-0,01%"
"03.05.2023","13.669,24","13.714,19","13.730,46","13.623,36","","-0,03%"
"02.05.2023","13.673,77","13.830,38","13.880,68","13.673,77","","-0,97%"
"28.04.2023","13.807,75","13.735,04","13.828,17","13.645,19","","0,96%"
"27.04.2023","13.676,24","13.604,77","13.695,80","13.576,10","","0,49%"
"26.04.2023","13.608,91","13.552,85","13.621,43","13.445,98","","0,01%"
"25.04.2023","13.607,84","13.596,75","13.627,86","13.508,87","","-0,21%"
"24.04.2023","13.636,57","13.510,31","13.731,90","13.510,31","","0,87%"
"21.04.2023","13.518,34","13.491,35","13.523,75","13.403,66","","0,06%"
"20.04.2023","13.510,00","13.519,29","13.546,82","13.477,07","","-0,57%"
"19.04.2023","13.586,98","13.624,02","13.624,02","13.542,74","","-0,55%"
"18.04.2023","13.662,63","13.599,70","13.712,79","13.599,70","","0,67%"
"17.04.2023","13.571,42","13.552,21","13.688,48","13.552,21","","0,58%"
"14.04.2023","13.492,73","13.407,14","13.546,36","13.407,14","","1,01%"
"13.04.2023","13.357,91","13.174,92","13.359,62","13.174,92","","1,49%"
"12.04.2023","13.161,16","13.166,72","13.280,61","13.128,24","","-0,05%"
"11.04.2023","13.168,15","13.137,74","13.189,41","13.089,59","","0,86%"
"06.04.2023","13.056,11","12.925,56","13.057,33","12.925,56","","1,05%"
"05.04.2023","12.920,03","13.092,82","13.129,49","12.897,94","","-1,51%"
"04.04.2023","13.118,14","13.157,95","13.264,83","13.118,14","","-0,06%"
"03.04.2023","13.125,99","13.171,10","13.199,67","13.093,94","","-0,22%"
"31.03.2023","13.155,25","13.126,21","13.180,06","13.019,65","","0,28%"
"30.03.2023","13.118,59","12.947,29","13.121,86","12.947,29","","2,20%"
"29.03.2023","12.836,33","12.706,95","12.839,70","12.662,85","","1,40%"
"28.03.2023","12.658,57","12.851,30","12.863,25","12.626,04","","-0,96%"
"27.03.2023","12.781,49","12.794,60","12.855,65","12.701,78","","1,11%"
"24.03.2023","12.641,54","12.886,08","12.886,08","12.572,61","","-2,23%"
"23.03.2023","12.929,74","12.821,41","12.952,60","12.748,28","","0,55%"
"22.03.2023","12.858,53","12.990,37","12.990,37","12.854,42","","-0,98%"
"21.03.2023","12.985,61","12.833,35","13.065,34","12.833,35","","1,56%"
"20.03.2023","12.786,51","12.575,33","12.845,10","12.370,17","","0,10%"
"17.03.2023","12.773,39","13.120,99","13.174,34","12.715,63","","-2,05%"
"16.03.2023","13.041,15","13.031,50","13.065,91","12.770,33","","1,51%"
"15.03.2023","12.847,48","13.292,01","13.292,01","12.834,11","","-3,26%"
"14.03.2023","13.280,61","13.006,17","13.322,90","12.973,15","","2,38%"
"13.03.2023","12.971,79","13.277,66","13.285,12","12.758,67","","-2,31%"
"10.03.2023","13.278,53","13.259,30","13.319,95","13.163,90","","-1,46%"
"09.03.2023","13.474,98","13.494,05","13.528,90","13.389,57","","-0,46%"
"08.03.2023","13.537,66","13.469,91","13.557,24","13.452,56","","-0,05%"
"07.03.2023","13.544,85","13.663,42","13.724,45","13.517,29","","-0,96%"
"06.03.2023","13.675,52","13.637,96","13.680,32","13.580,10","","0,71%"
"03.03.2023","13.579,11","13.484,58","13.579,11","13.457,65","","1,10%"
"02.03.2023","13.431,59","13.347,96","13.433,64","13.336,74","","0,11%"
"01.03.2023","13.416,79","13.437,98","13.535,01","13.394,46","","0,25%"
"28.02.2023","13.382,67","13.332,30","13.425,28","13.323,01","","-0,08%"
"27.02.2023","13.393,33","13.267,57","13.430,18","13.267,57","","1,23%"
"24.02.2023","13.231,06","13.479,55","13.483,90","13.218,96","","-1,65%"
"23.02.2023","13.452,44","13.327,22","13.520,96","13.319,68","","1,27%"
"22.02.2023","13.283,74","13.320,39","13.326,68","13.210,04","","-0,89%"
"21.02.2023","13.402,41","13.494,95","13.519,03","13.393,12","","-0,80%"
"20.02.2023","13.510,78","13.576,66","13.583,21","13.461,35","","-0,16%"
"17.02.2023","13.532,20","13.455,60","13.563,93","13.365,10","","-0,03%"
"16.02.2023","13.536,59","13.591,98","13.613,83","13.443,48","","0,12%"
"15.02.2023","13.520,31","13.373,81","13.524,64","13.372,02","","1,24%"
"14.02.2023","13.354,28","13.345,78","13.484,18","13.339,50","","0,35%"
"13.02.2023","13.307,78","13.264,70","13.331,62","13.236,41","","0,36%"
"10.02.2023","13.260,06","13.408,79","13.422,10","13.196,45","","-1,64%"
"09.02.2023","13.481,60","13.454,23","13.573,88","13.454,23","","0,66%"
"08.02.2023","13.393,29","13.295,06","13.488,10","13.295,06","","1,24%"
"07.02.2023","13.229,76","13.378,79","13.379,97","13.182,40","","-1,21%"
"06.02.2023","13.392,05","13.417,09","13.430,14","13.301,86","","-0,76%"
"03.02.2023","13.494,83","13.433,78","13.503,66","13.324,35","","-0,04%"
"02.02.2023","13.500,45","13.264,31","13.527,50","13.264,31","","2,56%"
"01.02.2023","13.163,14","13.113,48","13.235,39","13.100,82","","0,76%"
"31.01.2023","13.063,63","13.044,44","13.082,98","12.944,99","","-0,29%"
"30.01.2023","13.102,27","13.247,99","13.249,10","13.043,06","","-1,51%"
"27.01.2023","13.303,15","13.252,59","13.337,02","13.197,72","","0,53%"
"26.01.2023","13.233,40","13.165,08","13.292,69","13.165,08","","0,90%"
"25.01.2023","13.115,92","13.196,33","13.202,03","13.064,97","","-0,80%"
"24.01.2023","13.222,21","13.325,78","13.341,10","13.210,68","","-0,53%"
"23.01.2023","13.292,31","13.238,96","13.322,27","13.210,90","","1,02%"
"20.01.2023","13.158,16","13.048,70","13.164,60","13.007,86","","1,18%"
"19.01.2023","13.004,56","13.302,60","13.303,74","13.004,56","","-2,83%"
"18.01.2023","13.382,76","13.341,34","13.501,43","13.276,67","","0,44%"
"17.01.2023","13.323,78","13.256,33","13.334,89","13.193,30","","0,50%"
"16.01.2023","13.257,12","13.136,09","13.271,38","13.082,46","","1,38%"
"13.01.2023","13.077,00","13.009,89","13.125,90","12.985,86","","0,73%"
"12.01.2023","12.982,85","12.861,35","13.003,28","12.822,97","","1,02%"
"11.01.2023","12.852,34","12.684,19","12.890,27","12.684,19","","1,60%"
"10.01.2023","12.649,37","12.693,19","12.693,19","12.610,51","","-0,70%"
"09.01.2023","12.738,39","12.543,86","12.738,39","12.543,86","","1,92%"
"06.01.2023","12.498,45","12.358,66","12.502,97","12.244,38","","1,24%"
"05.01.2023","12.345,04","12.399,66","12.453,15","12.341,77","","-0,51%"
"04.01.2023","12.408,00","12.268,46","12.408,00","12.252,50","","1,55%"
"03.01.2023","12.218,83","12.090,95","12.320,58","12.090,95","","1,11%"
"02.01.2023","12.084,56","11.980,54","12.116,10","11.980,54","","1,33%"
"30.12.2022","11.925,70","11.993,93","12.021,35","11.925,70","","-0,75%"
"29.12.2022","12.015,22","11.752,18","12.015,22","11.725,04","","1,86%"
"28.12.2022","11.796,13","11.839,87","11.885,81","11.781,19","","-0,84%"
"27.12.2022","11.896,21","11.947,96","11.994,10","11.864,91","","0,14%"
"23.12.2022","11.879,65","11.835,00","11.936,77","11.801,34","","0,40%"
"22.12.2022","11.832,70","12.023,15","12.059,39","11.812,18","","-1,42%"
"21.12.2022","12.003,09","11.798,80","12.003,09","11.798,80","","2,03%"
"20.12.2022","11.764,77","11.718,46","11.800,36","11.676,96","","-0,56%"
"19.12.2022","11.830,76","11.764,78","11.887,90","11.764,78","","0,59%"
"16.12.2022","11.761,13","11.851,11","11.866,17","11.671,37","","-1,04%"
"15.12.2022","11.884,55","12.099,97","12.101,50","11.884,27","","-2,48%"
"14.12.2022","12.186,32","12.271,62","12.271,62","12.106,02","","-1,06%"
"13.12.2022","12.316,78","12.210,82","12.484,33","12.123,46","","1,02%"
"12.12.2022","12.192,85","12.265,37","12.270,48","12.134,83","","-1,08%"
"09.12.2022","12.326,40","12.330,17","12.382,67","12.256,92","","0,28%"
"08.12.2022","12.291,38","12.214,85","12.336,44","12.212,63","","0,69%"
"07.12.2022","12.206,82","12.253,14","12.313,56","12.206,82","","-0,96%"
"06.12.2022","12.325,50","12.484,74","12.484,74","12.301,22","","-1,64%"
"05.12.2022","12.530,48","12.664,49","12.674,61","12.530,48","","-1,11%"
"02.12.2022","12.670,76","12.552,32","12.703,49","12.516,64","","0,92%"
"01.12.2022","12.555,01","12.574,90","12.640,71","12.500,95","","1,39%"
"30.11.2022","12.382,96","12.233,40","12.382,96","12.224,92","","1,33%"
"29.11.2022","12.220,07","12.325,61","12.337,18","12.208,99","","-0,90%"
